car;area;mun
 RN-2410256-38C6016F18DF4426818806C71DE12213;0.3142;Porto do Mangue
 RN-2410256-81B3EDE4FD1D4BCBBC143A78C56C78BE;0.2107;Porto do Mangue
 RN-2410256-67B6672AF9AC479BACBFA9F1218C48CA;10761;Porto do Mangue
 RN-2410256-FDBABE9928084F3DAD6F72F9771D695D;11352;Porto do Mangue
 RN-2410256-0219C7F4B1824A7198473C545221376D;0.6798;Porto do Mangue
 RN-2410256-E5E283796F634AC3AB62E587EDF79A6A;56595;Porto do Mangue
 RN-2410256-73352B87067B4FE7981D34F6AB881B05;536193;Porto do Mangue
 RN-2410256-AC977D85829A4A87AF7627C7F0DDB8E8;0.1698;Porto do Mangue
 RN-2410256-D6EAAEDFD0C34C67B3906749E02B9624;0.0649;Porto do Mangue
 RN-2410256-F5DFF9C872764BE5AEB7B3A5CFD7991A;13015;Porto do Mangue
 RN-2410256-3669EE0DC1D2425B87C5D8737AA706E0;0.2416;Porto do Mangue
 RN-2410256-2921CCEEF1E249AA91DAD2D4DB90D7A4;0.1184;Porto do Mangue
 RN-2410256-4BD64AE507784207AB9305230E4395D4;0.0490;Porto do Mangue
 RN-2410256-EBBF7E83E2FF434A964C74814D2DEB54;39744;Porto do Mangue
 RN-2410256-28033CF3EB5C435DA6C7A21194110DF3;0.0721;Porto do Mangue
 RN-2410256-4896970755C34E6C90539B0CDCA9DEFD;0.0551;Porto do Mangue
 RN-2410256-C3BE82063B5A46AE9BB30703E4B6DBDE;11053;Porto do Mangue
 RN-2410256-080C0066A4CD44ACA60B0D98504DE441;0.0486;Porto do Mangue
 RN-2410256-7CD495BA5416414D8AA7917AF178A9FC;0.1659;Porto do Mangue
 RN-2410256-884442ACC64842B98993DE28D27BB662;0.1688;Porto do Mangue
 RN-2410256-92D67C3C512649D0B26AE08033B498E6;0.5256;Porto do Mangue
 RN-2410256-C9F97555D3484C5FA66E1B03ED3E4A2C;53987;Porto do Mangue
 RN-2410256-18A218C756D24C91A61BEFAC55745348;0.8382;Porto do Mangue
 RN-2410256-E3444305219A4B6CBEEED66BFE8D3F08;0.1354;Porto do Mangue
 RN-2410256-EB77BD2B71C44AB08CE8353EA04F89B6;30713;Porto do Mangue
 RN-2410256-872EDCD32A4044E89892CB7EB31FB511;0.6887;Porto do Mangue
 RN-2410256-A6201D51ABFC4B7089909278C838E292;24000;Porto do Mangue
